Source,Citation,Quote,Comment
Lotus Sutra,Chapter 7,"Bhikṣus! I will collect Bodhisattvas and Śrāvakas and expound this sūtra to them when I realize that the time of my Nirvāṇa is drawing near, that the living beings have become pure in heart, that they can understand the truth of the Void by firm faith, and that they have already entered deep into dhyāna-concentration.","The Buddha gives this explanation in Chapter Seven of the Lotus Sūtra. When we encounter even the smallest part of the Lotus Sūtra, it is because of all the wonderful things we have accomplished both in this life and in previous lives. Because we hear and practice this Sūtra, we are the Bodhisattvas who have vowed to benefit all beings and the Śrāvakas who have heard and practiced the teaching for their own benefit and are now awakening to the Bodhisattva path. The Buddha sees into the purity of our hearts, even though we may believe we are clouded by delusion and ignorance. He knows we can understand his teaching no matter how inadequate or unworthy we may think we are. No one besides us can bring the Buddha’s teachings to life and purify this world of suffering. This Wonderful Dharma helps us keep sight of who we are and what we are here to do."
Lotus Sutra,Chapter 16,"The father thought, ‘These sons are pitiful. They are so poisoned that they are perverted. Although they rejoice at seeing me and ask me to cure them, they do not consent to take this good medicine. Now I will have them take it with an expedient.’","The Buddha gives this description as part of the Parable of the Wise Physician in Chapter Sixteen of the Lotus Sūtra. In the story, the physician’s children have mistakenly taken poison, yet refuse the remedy their father provides for them. The children are just like us as we cling to our attachments and delusions and refuse the good medicine of the Buddha Dharma. This refusal can be for many reasons. The children may think the remedy is worse than the poison. They may be holding out for another remedy that may be even more pleasant. They may enjoy being poisoned. They may not trust that their father can cure them. As the father in the story faked his death to bring the children to their right minds, the Buddha seems to disappear from our lives so that we may learn to accept the teaching he provides for us. And as the father reappeared to the children once they took the remedy, the Buddha reappears to us when we practice his teaching."
Nichiren,Treatise on the True Way of Practicing the Teaching of the Buddha (Nyosetsu Shugyō-shō),"True practicers of Buddhism should not rely on what people say, but solely on the golden words of the Buddha.","Nichiren wrote this passage in his Treatise on the True Way of Practicing the Teaching of the Buddha (Nyosetsu Shugyō-shō). We may take this to mean that we should not listen to anything that others tell us and dogmatically adhere to a fixed teaching. Another interpretation involves learning to see the world as the Buddha does. Where people often speak from their own delusion and selfish desires, the Buddha speaks only to lead us to his enlightenment and help us to remove our attachments. When we look for the Buddha in all parts of our lives, we can learn to appreciate anything we hear from anybody as teaching us to become enlightened."
Lotus Sutra,Chapter 10,To enter the room of the Tathāgata means to have great compassion towards all living beings. To wear the robe of the Tathāgata means to be gentle and patient. To sit on the seat of the Tathāgata means to see the voidness of all things. They should do these [three] things and then without indolence expound this Sūtra of the Lotus Flower of the Wonderful Dharma to Bodhisattvas and the four kinds of devotees.,"The Buddha, the Tathāgata, gives this description to Medicine-King Bodhisattva in Chapter Ten of the Lotus Sūtra. When we awaken to our nature as Bodhisattvas and resolve to benefit other beings, we often find we do not know how to accomplish this. In the Lotus Sūtra, the Buddha gives instructions for reaching others and helping them let go of their delusions. By voidness the Buddha does not mean that nothing exists, rather that nothing has an inherent existence. Nobody is innately ignorant or innately wise. When we maintain our resolve to improve the world, maintain our patience and increase our capacities, and see the possibility of enlightenment for everyone, then are we truly living the Buddha’s teachings."
Lotus Sutra,Chapter 2,"Śāriputra! The Tathāgatas divide [the Dharma] into various teachings, and expound those teachings to all living beings so skillfully and with such gentle voices that living beings are delighted.","The Buddha gives this explanation to his disciple Śāriputra in Chapter Two of the Lotus Sūtra. The work towards enlightenment is a shared enterprise. The Buddha cannot make us enlightened, and we cannot become enlightened by ourselves. The Buddha does not bribe, coerce, threaten or manipulate us into reaching the wisdom he knows we can find. Instead he sees deeply into our minds and uses the delusions we already have to lead us away from the suffering we create for ourselves. In our work as Bodhisattvas, we do well to keep the Buddha’s example in mind. "
Lotus Sutra,Chapter 14,"He should respect the Buddhas, the World-Honored Ones, As his unsurpassed fathers. He should give up arrogance So that he may expound the Dharma without hindrance.","The Buddha sings these verses in Chapter Fourteen of the Lotus Sūtra in which he describes the peaceful practices of a Bodhisattva. By arrogance, the Buddha means not only acting as if we know what we do not, but any fixed understanding of the world and the beings in it. This opening of our minds allows us to be receptive to the innumerable ways the Buddhas are teaching us, and to learn to see the world for what it is. This receptivity also allows us to see the Buddha nature in all beings, no matter how deluded they are and how much harm they create. Respect is what allows us to fully hear and be present for what the world has to offer us."
Lotus Sutra,Chapter 26,"Anyone who does not keep our spells  But troubles the expounder of the Dharma  Shall have his head split into seven pieces Just as the branches of the arjaka-tree [are split].","The ten rakṣasī demons and Mother-of-Devils sing these verses in Chapter Twenty-Six of the Lotus Sūtra. They are among the many gods and other supernatural beings who vow to protect all those who keep and practice the Buddha Dharma. These verses help us to understand the nature of those who create harm in the world and to develop a heart of compassion towards them. The nature of delusion is that it sets up a world separate from the world we all share. It puts a barrier between us and the world out of fear that this world will harm us. The Buddha’s teachings show us how to develop the courage to live in harmony with this world, rather than splitting ourselves from it, and splitting ourselves in it.
"
Lotus Sutra,Chapter 8,"They will not think Of any other food [than the two kinds of food:] The delight in the Dharma, and the delight in dhyāna.","The Buddha sings these verses in Chapter Eight of the Lotus Sūtra, speaking of the future lives of those who practice the Wonderful Dharma. In the existence we occupy now, it is difficult to imagine any other ways we could live. When the Buddha shows us the world as it is, he is not just opening our eyes to what is in front of us now. He shows us innumerable possibilities far better than anything we could dream up ourselves. To reach these other worlds, we only need to shed our attachment to our delusions and have faith in the path the Buddha opens to his enlightenment."
Lotus Sutra,Chapter 10,"Anyone who expounds this sūtra to the four kinds of devotees, Or reads or recites this sūtra in a retired place, After doing these [three] virtuous things, Will be able to see me.","The Buddha sings these verses to Medicine-King Bodhisattva in Chapter Ten of the Lotus Sūtra. While the Buddha was alive 2500 years ago, people traveled great distances and endure great hardships just to see him. Today, even though the man named Siddhartha Gautama is no longer in our world, we are assured that the ever-present Śākyamuni is always with us and leading us to his enlightenment. When we make the effort to keep, read, recite, copy and expound this Sūtra, it is as if we are traveling great distances and enduring great hardships."
Lotus Sutra,Chapter 16,"I see the [perverted] people sinking In an ocean of suffering. Therefore, I disappear from their eyes And cause them to admire me.","The Buddha sings these verses in Chapter Sixteen of the Lotus Sūtra. With the story of the wise physician in this chapter, the Buddha explains how he disappears from our view even though he is always present to us. The children in the story would not accept the remedy their father prepared for them to counteract the poison they had taken. Some of them hoped for another remedy, some believed the remedy would be worse than the poison. It was not until the father left and told them he would not return that the children realized the value of what they already had. When we take the Buddha for granted, as the children in the story took their father for granted, and ignore the path he has laid out for us, we lose sight of the Buddha. It is only when we realize we are lost that we look for a guide. When we bring the Buddha’s teachings to life, we find him everywhere."
Lotus Sutra,Chapter 10,"Medicine-King! I will tell you. The Sūtra of the Lotus Flower of the Wonderful Dharma Is the most excellent sūtra That I have ever expounded.","The Buddha sings these verses to Medicine-King Bodhisattva in Chapter Ten of the Lotus Sūtra. Our founder Nichiren explained that the superiority of the Lotus Sūtra lay not in its being more powerful than other Sūtras, but that it leads all beings, without exception, to the Buddha’s own enlightenment. Other teachings distinguish between those who can follow the Buddha Dharma and those who cannot. But this teaching assures everyone who hears it that they will become enlightened."
Lotus Sutra,Chapter 7,"When he sat on that seat, the Brahman-heavenly-kings rained heavenly flowers on the area extending a hundred yojanas in all directions from that seat. From time to time withered flowers were blown away by fragrant winds and new flowers were rained down. [The Brahman-heavenly-kings] continued this offering to him for fully ten small kalpas. [After he attained Buddhahood also,] they continued raining flowers until he passed away.","The Buddha describes the life of an ancient Buddha named Great-Universal-Wisdom-Excellence in Chapter Seven of the Lotus Sūtra. In the story, when that Buddha took the seat from which he would become enlightened, the gods who created his world recognized the immense benefit all beings were about to receive and showed their joy by filling the skies with these beautiful flowers. After that Buddha became enlightened, gods from innumerable other worlds came to his world to make offerings, giving up the pleasures of their own worlds. The enlightenment of any being extends beyond the personal contact we have with any that being. It changes the entire universe."
Lotus Sutra,Chapter 18,"Needless to say, boundless will be the merits  Of the person who hears this sūtra with all his heart,  And expounds its meanings,  And acts according to its teachings.","The Buddha sings these verses to Maitreya (whom he calls Ajita - Invincible) in Chapter Eighteen of the Lotus Sutra. The merits we gain through our study and practice of the Lotus Sūtra do not make us better than any of the other beings with whom we share this world. Merits accumulate when we strip away our delusions and see the world for what it is. We sometimes focus on what we can do to change the world, thinking that merely changing how we look at the world will have little effect. It is only when we see things for what they are that we can act effectively. Otherwise we are merely reinforcing the delusions of ourselves and others."
Nichiren,"Treatise on Opening the Eyes of Buddhist Images, Wooden Statues or Portraits (Mokue Nizō Kaigen no Koto)","The written words of the Lotus Sutra express in a visible and tangible form the Brahma’s voice of the Buddha, which is invisible and intangible, so that we can see and read them with our eyes. The Buddha’s pure and immaculate voice, which had disappeared, is resuscitated in the form of written characters for the benefit of humankind.","Nichiren wrote this passage in his Treatise on Opening the Eyes of Buddhist Images, Wooden Statues or Portraits (Mokue Nizō Kaigen no Koto). Living in this world, 2500 years after the Buddha Śākyamuni walked the Earth, it is difficult to hear his voice leading us to enlightenment and encouraging us to let go of our attachments. In the Lotus S̄ūtra we have an instrument for creating the Buddha’s voice in our own time. This is his highest teaching. It brings all beings to liberation, whether they are clever or dull, stupid or wise, focused or distracted. It reminds us of our true nature as Bodhisattvas who chose this life out of our determination to benefit all beings. It shows us how to transform the poison of suffering into the medicine of compassion, and the poison of ignorance into the medicine of wisdom."
Lotus Sutra,Chapter 10,"If you wish to dwell in the enlightenment of the Buddha, And to obtain the self-originating wisdom, Make offerings strenuously to the keeper Of the Sūtra of the Lotus Flower of the Wonderful Dharma! ","The Buddha sings these verses to Medicine-King Bodhisattva at the beginning of Chapter Ten of the Lotus Sūtra. This teaching does not mean that we who practice the Buddha Dharma should expect offerings because of our practice. Rather, it encourages us to appreciate all those who are seeking enlightenment, whether or not they are aware of their true nature as Bodhisattvas. It also means that innumerable beings are helping us reach enlightenment. We are never alone in this practice."
Lotus Sutra,Chapter 28,"World-Honored One! It is by my supernatural powers, know this, that a Bodhisattva can hear these dhāraṇīs. Anyone who keeps the Sūtra of the Lotus Flower of the Wonderful Dharma [while it is] propagated in the Jambudvīpa, should think, ‘I can keep [this sūtra] only by the supernatural powers of Universal-Sage.’","Universal-Sage Bodhisattva (Fugen, Samantabhadra) makes this declaration to the Buddha in Chapter Twenty-Eight of the Lotus Sūtra. The supernatural powers of this Bodhisattva are beyond the perception of our human senses: sight, hearing, touch, taste, smell and thought. When we hear thunder, we know something causes it whether or not we understand that cause. In the same way, when we are practicing this Wonderful Dharma, we know it is because of the great help we receive from innumerable beings, even if we do not understand the powers they use to reach us."
Lotus Sutra,Chapter 21,"Anyone who keeps this sūtra  Will be able to expound  The meanings of the teachings,  And the names and words [of this sūtra].  Their eloquence will be as boundless  And as unhindered as the wind in the sky.","The Buddha sings these verses to Superior-Practice Bodhisattva (Jōgyo, Viśiṣṭacārītra) in Chapter Twenty-One of the Lotus Sūtra. This teaching transforms us from beings who exist for our own comfort and awakens our true nature as Bodhisattvas: beings who exist for the benefit of all beings. This transition requires that we engage with these other beings and break out of the isolation of our own attachments. The first step is simply to listen, to be present and accept whatever the world has to offer. But at some point we need to speak. It can be difficult to know what to say. But with this Wonderful Dharma of the Lotus Sūtra, we find that because it embodies the Buddha’s highest wisdom, so long as we transmit what it has taught us, we will always have ways to use it to benefit other beings and bring this teaching to life in our world."
Nichiren,Reply to Lord Ueno (Ueno-dono Gohenji),"The Buddha is great, but compared to the Lotus Sutra He is like the light of a firefly in front of the sun and moon. When compared in terms of height, the Buddha is like the earth while the Lotus Sutra reaches the heavens. If making offerings to the Buddha has such great merit, how much more so does one gain by making offerings to the Lotus Sutra?","Nichiren wrote this passage in a Reply to Lord Ueno (Ueno-dono Gohenji). When we encounter someone we consider great because of their fame, their wisdom, or anything else that leads them to be dear to us, our natural inclination is to show our gratitude to them by offering them gifts or services. When we learn about the Buddha, his life and what  he taught us, even from a distance of 2500 years, we cannot help but be grateful for everything he has done to benefit us and all beings. But, as Nichiren instructs, when we realize the treasure of the Wonderful Dharma of the Lotus Sūtra, and how it is the embodiment of the Ever-Present Buddha who continues to teach all beings through all worlds and all time, our gratitude to it is even greater. We make offerings to the Sūtra through our practice, our determination not to allow suffering to dictate what we do, but to cultivate the wisdom and compassion within us, and repay the Ever-Present Buddha with the enlightenment of all beings."
Lotus Sutra,Chapter 25,"His precepts out of his loving-kindness brace us up as thunderbolts. His wishes out of his compassion are as wonderful as large clouds. He pours the rain of the Dharma as sweet as nectar,  And extinguishes the fire of illusions.","The Buddha gives this description of World-Voice-Perceiver Bodhisattva (Kannon, Kanzeon, Kuan Yin, Avalokitesvara) to Endless-Intent Bodhisattva in Chapter Twenty-Five of the Lotus Sūtra. This Bodhisattva is the embodiment of compassion. As we cultivate our own nature as Bodhisattvas, we find that the only thing that separates us from the happiness of others is our attachment and delusion. When we allow our compassion to grow, we come to see the world as it is."
Lotus Sutra,Chapter 1,"Always seeking fame and gain, He often visited noble families. He did not understand what he had recited, Gave it up, and forgot it. Because of this, He was called Fame-Seeking.
But he [later] did many good karmas, And became able to see innumerable Buddhas.","Mañjuśrī Bodhisattva sings these verses in Chapter One of the Lotus Sūtra. They are part of a story he tells about Fame-Seeking Bodhisattva (Gumyō, Yaśaskāma). This shows that each of the innumerable Bodhisattvas who are helping us to become enlightened use different ways of reaching people. Even those enmeshed in the suffering of self-importance, who use this Wonderful Dharma to make themselves seem superior to others, simply because they are leading others to this teaching, they too are creating boundless merit."
Nichiren,Treatise on Cooperation (Itai Doshin-ji),"All things are possible if people are united in one spirit. Nothing can be accomplished if they are not united. It is also true in non-Buddhist scriptures. For instance, a king of Y’in in old China, King Chieh who had an army of seven hundred thousand men disunited in spirit, was defeated by King Wu of Chou and his army of eight hundred men, who were united in one spirit. So that if a person has two thoughts, nothing can be accomplished. Even if there are hundreds or thousands of people, if they are united in one they are surely able to accomplish their aim.","Nichiren wrote this passage in his Treatise on Cooperation (Itai Doshin-ji). When we develop the Bodhisattva mind of compassion, we learn that compassion is present in all beings. As we aspire to the Buddha mind of wisdom, we find that all beings have wisdom. When we act from compassion and wisdom rather than fear and delusion, we are united with the true minds of all beings."
Lotus Sutra,Chapter 10,"Those who come to this teacher of the Dharma Will be able to complete the Way of Bodhisattvas quickly. Those who follow him and study will be able to see As many Buddhas as there are sands in the River Ganges.","The Buddha sings these verses to Medicine-King Bodhisattva in Chapter Ten of the Lotus Sūtra. By teacher of the Dharma, the Buddha means anyone who keeps, reads, recites, copies and expounds this Sūtra. As we continue on this Way, we learn to recognize the Buddha’s presence in every aspect of our experience. We learn to appreciate everything the Buddha does for us, and to show that gratitude to all those in whom we recognize the Buddha. Then we realize there is no shortage of teachers, no shortage of joy and no shortage of opportunities to benefit others."
Nichiren,The Sutra Preached in Accordance to [the Buddha’s] Own Mind (Zui-jii Gosho),"Suppose parents who had an aversion to alcohol had a son who loved to drink liquor. Because of their love for their son and also to cater to his whim, they made it a point to offer him alcohol, pretending that they were also drinkers of liquor. The hopeless son then assumed that his parents truly loved alcohol. Sutras preached according to others’ minds are the same.","Nichiren wrote this passage in his treatise, The Sutra Preached in Accordance to [the Buddha’s] Own Mind (Zui-jii Gosho). In the Lotus Sūtra, the Buddha sets aside his expedient teachings and leads us to his own way of thinking. He knew the difficulty of changing our habits and beliefs, so he started by catering to our selfish desires to be happy and end our own suffering. For us to realize our full potential for wisdom and compassion, we must stand up to our fears and nourish our true nature as Bodhisattvas: beings who exist to create benefits for the entire universe."
Lotus Sutra,Chapter 16,"[This] pure world of mine is indestructible. But the [perverted] people think: “It is full of sorrow, fear, and other sufferings. It will soon burn away.”","The Buddha sings these verses in Chapter Sixteen of the Lotus Sūtra. When we are not aware of our own potential for enlightenment, and of the Ever-Present Buddha Śākyamuni who is helping us and all beings to reach this potential, we can easily sink into despair. So long as we are preoccupied with suffering, when we live as if our purpose were to feel good as much as possible and feel bad as little as possible, we long for escape from this world of conflict. As we continue to grow the Buddha’s own mind within us, we see how this world is being transformed. When we know where we are going, all obstacles become stepping stones."
